codEleccion,codDepartamento,codDistrito,codZona,codLocal,numMesa,blancos,nulos,totProg,desCandidatura,desDepartamento,desDistrito,desZona,desLocal,votos,numLista,idLista,orden,desPartido,sigPartido
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,65,1,1,1,PARTIDO COLORADO,ANR
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,46,5,2,2,ALIANZA GANAR,GANAR
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,1,12,3,3,PARTIDO FRENTE AMPLIO,PFA
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,0,15,4,4,MOVIMIENTO NACIONAL ARTISTAS DEL PARAGUAY,MNAP
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,0,22,5,5,MOVIMIENTO SOBERANIA NACIONAL,SN
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,2,23,6,6,PARTIDO VERDE PARAGUAY,PVP
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,0,30,7,7,MOVIMIENTO RESERVA PATRIOTICA,MRP
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,0,45,8,8,PARTIDO SOCIALISTA DEMOCRATICO HEREDEROS,PSDH
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,2,50,9,9,PARTIDO DEL MOVIMIENTO PATRIOTICO POPULAR,PMPP
18,1,0,0,1,1,3,2,122,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,1,60,10,10,MOVIMIENTO CIVICO NACIONAL UNAMONOS,UNAMONOS
18,1,0,0,1,2,7,5,120,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,48,1,1,1,PARTIDO COLORADO,ANR
18,1,0,0,1,2,7,5,120,PRESIDENTE DE LA REPUBLICA,CONCEPCION,CONCEPCION,CONCEPCION,C.R.E.C JUAN E. O'LEARY,52,5,2,2,ALIANZA GANAR,GANAR
